,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
24,25,105990000,"-- Canards, oies, dindons, dindes et pintades  vivants domestiques, d'un
poids excédant 185 g",10,1,,,,,,,,"0,8","0,2","0,5"
25,26,106110000,-- Primates vivants,10,1,,,,,,,,"0,8","0,2","0,5"
26,27,106120000,"-- Baleines, dauphins et marsouins (...); lamantins et dugongs (...); otaries
et phoques, lions de mer et morses (...) vivants",10,1,,,,,,,,"0,8","0,2","0,5"
27,28,106130000,-- Chameaux et autres camélidés (Camelidés) vivants,10,1,,,,,,,,"0,8","0,2","0,5"
28,29,106140000,-- Lapins et lièvres vivants,10,1,,,,,,,,"0,8","0,2","0,5"
29,30,106190000,-- Autres mammifères vivants,10,1,,,,,,,,"0,8","0,2","0,5"
30,31,106200000,- Reptiles (y compris les serpents et les tortues de mer) vivants,10,1,,,,,,,,"0,8","0,2","0,5"
31,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
32,32,106310000,-- Oiseaux de proie vivants,10,1,,,,,,,,"0,8","0,2","0,5"
33,33,106320000,"-- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)
vivants",10,1,,,,,,,,"0,8","0,2","0,5"
34,34,106330000,-- Autruches; émeus (Dromaius novaehollandiae) vivants,10,1,,,,,,,,"0,8","0,2","0,5"
35,35,106390000,-- Autres oiseaux vivants,10,1,,,,,,,,"0,8","0,2","0,5"
36,36,106410000,-- Abeilles vivantes,5,1,,,,,,,,"0,8","0,2","0,5"
37,37,106490000,"-- Insectes vivants, autres que les abeilles",10,1,,,,,,,,"0,8","0,2","0,5"
38,38,106900000,"- Animaux vivants, autres que les mammifères, reptiles, oiseaux et insectes",10,1,,,,,,,,"0,8","0,2","0,5"
39,39,201100000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, en
carcasses ou demi-carcasses",35,1,,,,,,,,"0,8","0,2","0,5"
40,40,201200000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, autres
qu'en carcasses ou demi-carcasses, non désossées",35,1,,,,,,,,"0,8","0,2","0,5"
41,41,201300000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées,
désossées",35,1,,,,,,,,"0,8","0,2","0,5"
42,42,202100000,"- Viandes des animaux de l'espèce bovine, congelées, en carcasses ou
demi-carcasses",35,1,,,,,,,,"0,8","0,2","0,5"
43,43,202200000,"- Viandes des animaux de l'espèce bovine, congelées, autres qu'en
carcasses ou demi-carcasses, non désossées",35,1,,,,,80,,,"0,8","0,2","0,5"
44,44,202300000,"- Viandes des animaux de l'espèce bovine, congelées, désossées",35,1,,,,,20,,,"0,8","0,2","0,5"
45,45,203110000,"-- Viandes des animaux de l'espèce porcine, fraîches ou réfrigérées, en
carcasses ou demi-carcasses",35,1,,,,,20,,,"0,8","0,2","0,5"
46,46,203120000,"-- Jambons, épaules et leurs morceaux, des animaux de l'espèce porcine,
frais ou réfrigérés, non désossés",35,1,,,,,20,,,"0,8","0,2","0,5"
47,47,203190000,"-- Autres viandes des animaux de l'espèce porcine, fraîches ou réfrigérées,
du n° 02.03",35,1,,,,,20,,,"0,8","0,2","0,5"
48,48,203210000,"-- Viandes des animaux de l'espèce porcine, congelées, en carcasses ou
demi-carcasses",35,1,,,,,20,,,"0,8","0,2","0,5"
49,49,203220000,"-- Jambons, épaules et leurs morceaux, des animaux de l'espèce porcine,
congelés, non désossés",35,1,,,,,20,,,"0,8","0,2","0,5"
50,50,203290000,"-- Autres viandes des animaux de l'espèce porcine, congelées, du n° 02.03",35,1,,,,,20,,,"0,8","0,2","0,5"
51,51,204100000,"- Carcasses et demi-carcasses d?'agneau, fraîches ou réfrigérées",35,1,,,,,,,,"0,8","0,2","0,5"
52,52,204210000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées, en
carcasses ou demi-carcasses, autres que d'agneau",35,1,,,,,,,,"0,8","0,2","0,5"
53,53,204220000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées, autres
qu'en carcasses ou demi-carcasses, non désossées",35,1,,,,,,,,"0,8","0,2","0,5"
54,54,204230000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées,
désossées",35,1,,,,,,,,"0,8","0,2","0,5"
55,55,204300000,"- Carcasses et demi-carcasses d?'agneau, congelées",35,1,,,,,,,,"0,8","0,2","0,5"
56,56,204410000,"-- Viandes des animaux de l'espèce ovine, congelées, en carcasses ou
demi-carcasses, autres que d'agneau",35,1,,,,,,,,"0,8","0,2","0,5"
57,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
58,57,204420000,"-- Viandes des animaux de l'espèce ovine, congelées, autres qu'en
carcasses ou demi-carcasses, non désossées",35,1,,,,,,,,"0,8","0,2","0,5"
59,58,204430000,"-- Viandes des animaux de l'espèce ovine, congelées, désossées",35,1,,,,,,,,"0,8","0,2","0,5"
60,59,204500000,"- Viandes des animaux de l'espèce caprine fraîche, réfrigérée ou congelée",35,1,,,,,,,,"0,8","0,2","0,5"
61,60,205000000,"Viandes des animaux des espèces chevaline, asine ou mulassière,
fraîches, réfrigérées ou congelées.",20,1,,,,,,,,"0,8","0,2","0,5"
62,61,206100000,"- Abats comestibles des animaux de l'espèce bovine, frais ou réfrigérés",35,1,,,,,20,,,"0,8","0,2","0,5"
63,62,206210000,"-- Langues des animaux de l'espèce bovine, congelées",35,1,,,,,20,,,"0,8","0,2","0,5"
64,63,206220000,"-- Foies des animaux de l'espèce bovine, congelés",35,1,,,,,,,,"0,8","0,2","0,5"
65,64,206290000,"-- Abats comestibles autres que les langues et les foies, des animaux de
l'espèce bovine, congelés",35,1,,,,,20,,,"0,8","0,2","0,5"
66,65,206300000,"- Abats comestibles des animaux de l'espèce porcine, frais ou réfrigérés",35,1,,,,,20,,,"0,8","0,2","0,5"
67,66,206410000,"-- Foies  des animaux de l'espèce porcine, congelés",35,1,,,,,20,,,"0,8","0,2","0,5"
68,67,206490000,"-- Abats comestibles autres que les foies, des animaux de l'espèce porcine,
congelés",35,1,,,,,20,,,"0,8","0,2","0,5"
69,68,206800000,"- Abats comestibles des animaux des espèces ovine, caprine, chevaline,
asine ou mulassière, frais ou réfrigérés",35,1,,,,,,,,"0,8","0,2","0,5"
70,69,206900000,"- Abats comestibles des animaux des espèces ovine, caprine, chevaline,
asine ou mulassière, congelés",35,1,,,,,0,,,"0,8","0,2","0,5"
71,70,207110000,"-- Viandes de coqs et de poules, non découpées en morceaux, fraîches ou
réfrigérées",35,1,,,,,1000,,,"0,8","0,2","0,5"
72,71,207120000,"-- Viandes de coqs et de poules, non découpées en morceaux, congelées",35,1,,,,,1000,,,"0,8","0,2","0,5"
73,72,207130000,"-- Morceaux et abats comestibles, de coqs et de poules, frais ou réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
74,73,207140000,"-- Morceaux et abats  comestibles, de coqs et de poules, congelés",35,1,,,,,1000,,,"0,8","0,2","0,5"
75,74,207240000,"-- Viandes de dindes et dindons, non découpées en morceaux, fraîches ou
réfrigérées",35,1,,,,,1000,,,"0,8","0,2","0,5"
76,75,207250000,"-- Viandes de dindes et dindons, non découpées en morceaux, congelées",35,1,,,,,1000,,,"0,8","0,2","0,5"
77,76,207260000,"-- Morceaux et abats comestibles, de dindes et dindons, frais ou réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
78,77,207270000,"-- Morceaux et abats comestibles, de dindes et dindons, congelés",35,1,,,,,1000,,,"0,8","0,2","0,5"
79,78,207410000,"-- Viandes de canards, non découpées en morceaux, fraîches ou
réfrigérées",35,1,,,,,1000,,,"0,8","0,2","0,5"
80,79,207420000,"-- Viandes de canards, non découpées en morceaux, congelées",35,1,,,,,1000,,,"0,8","0,2","0,5"
81,80,207430000,"-- Foies gras comestibles de canards, frais ou réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
82,81,207440000,"-- Morceaux, abats comestibles autres que les foies gras de canards, frais
ou réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
83,82,207450000,"-- Morceaux, abats comestibles autres que les foies gras de canards,
congelés",35,1,,,,,1000,,,"0,8","0,2","0,5"
84,83,207510000,"-- Viandes d'oies, non découpées en morceaux, fraîches ou réfrigérées",35,1,,,,,1000,,,"0,8","0,2","0,5"
85,84,207520000,"-- Viandes d'oies, non découpées en morceaux, congelées",35,1,,,,,1000,,,"0,8","0,2","0,5"
86,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
87,85,207530000,"-- Foies gras comestibles, d'oies, frais ou réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
88,86,207540000,"-- Morceaux, abats comestibles, autres que les foies gras d'oies, frais ou
réfrigérés",35,1,,,,,1000,,,"0,8","0,2","0,5"
89,87,207550000,"-- Morceaux, abats comestibles, autres que les foies gras d'oies, congelés",35,1,,,,,1000,,,"0,8","0,2","0,5"
90,88,207600000,"- Viandes et abats comestibles de pintades, frais, réfrigérés ou congelés",35,1,,,,,1000,,,"0,8","0,2","0,5"
91,89,208100000,"- Viandes et abats comestibles de lapins ou de lièvres, frais, réfrigérés ou
congelés",20,1,,,,,,,,"0,8","0,2","0,5"
92,90,208300000,"- Viandes et abats comestibles de primates, frais, réfrigérés ou congelés",20,1,,,,,,,,"0,8","0,2","0,5"
93,91,208400000,"- Viande et abat comestible de baleine, dauphin, marsouin, lamantin,
dugong, d?otarie, phoque, lion de mer et morse, frais, réfrig. ou cong.",20,1,,,,,,,,"0,8","0,2","0,5"
94,92,208500000,"- Viandes et abats comestibles de reptiles (y compris les serpents et les
tortues de mer), frais, réfrigérés ou congelés",20,1,,,,,,,,"0,8","0,2","0,5"
95,93,208600000,"- Viandes et abats comestibles de chameaux et d'autres camélidés
(Camelidés), frais, réfrigérés ou congelés",20,1,,,,,,,,"0,8","0,2","0,5"
96,94,208900000,"- Autres viandes et abats comestibles, frais, réfrigérés ou congelés non
dénommés ni compris ailleurs",20,1,,,,,,,,"0,8","0,2","0,5"
97,95,209100000,"- Lard sans partie maigre et graisse non fondue ni autrement extraite, de
porc, frais, réfrigéré, congelé, salé ou en saumure, séché ou fumé",20,1,,,,,,,,"0,8","0,2","0,5"
98,96,209900000,"- Graisse de volailles non fondue ni autrement extraite, fraîche, réfrigérée,
congelée, salée ou en saumure, séchée ou fumée",20,1,,,,,,,,"0,8","0,2","0,5"
99,97,210110000,"-- Jambons, épaules et leurs morceaux, comestibles, de l'espèce porcine,
salés ou en saumure, séchés ou fumés, non désossés",20,1,,,,,600,,,"0,8","0,2","0,5"
100,98,210120000,"-- Poitrines (entrelardées) et leurs morceaux, comestibles, de l'espèce
porcine, salés ou en saumure, séchés ou fumés",20,1,,,,,600,,,"0,8","0,2","0,5"
101,99,210190000,"-- Viandes salées ou en saumure, séchées ou fumées, de l'espèce porcine,
autres que les jambons, épaules et leurs (…), poitrines (…)",20,1,,,,,200,,,"0,8","0,2","0,5"
102,100,210200000,"- Viandes de l'espèce bovine salées ou en saumure, séchées ou fumées",35,1,,,,,200,,,"0,8","0,2","0,5"
103,101,210910000,"-- Viandes et abats comestibles, salés ou en saumure, séch (…) de primates; farines et poudres comestibles de viandes ou d'abats de primates",20,1,,,,,,,,"0,8","0,2","0,5"
104,102,210920000,"-- Viandes et abats salés ou en saumure, séchés ou fumés, farines et
poudres de viandes ou d'abats, comestibles, de baleines,… morses",20,1,,,,,,,,"0,8","0,2","0,5"
105,103,210930000,"-- Viandes et abats comestibles, salés ou en saumure, séch (…) de reptiles;
farines et poudres comestibles de viandes ou d'abats de reptiles",20,1,,,,,,,,"0,8","0,2","0,5"
106,104,210990000,"-- Autres viandes et abats, salés ou en saumure, séchés ou fumés, farines
et poudres de viande ou d'abats, comestibles",20,1,,,,,,,,"0,8","0,2","0,5"
107,105,301110000,-- Poissons vivants d'ornement d?'eau douce,10,1,,,,,,,,"0,8","0,2","0,5"
108,106,301190000,-- Poissons vivants d'ornement autres que d?'eau douce,10,1,,,,,,,,"0,8","0,2","0,5"
109,107,301911000,"--- Alevins de truites  (Salmo trutta, Oncorhynchus mykiss, ...
chrysogaster) vivants",5,1,,,,,,,,"0,8","0,2","0,5"
110,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
111,108,301919000,"---  Truites   (Salmo trutta, Oncorhynchus mykiss, ...   chrysogaster)
vivantes, autres que les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
112,109,301921000,--- Alevins d'anguilles (Anguilla spp.) vivants,5,1,,,,,,,,"0,8","0,2","0,5"
113,110,301929000,"--- Anguilles (Anguilla spp.) vivantes, autres que les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
114,111,301931000,"--- Alevins de carpes (Cyprinus carpio, Carassius carassius …
Mylopharyngodon piceus ) vivants",5,1,,,,,,,,"0,8","0,2","0,5"
115,112,301939000,"--- Carpes (Cyprinus carpio, Carassius carassius … Mylopharyngodon
piceus ) vivantes, autres que les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
116,113,301941000,"--- Alevins de thons rouges de l'Atlantique et du Pacifique (Thunnus
thynnus, thunnus orientalis) vivants",5,1,,,,,,,,"0,8","0,2","0,5"
117,114,301949000,"--- Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, thunnus
orientalis) vivants, autres les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
118,115,301951000,--- Alevins de thons rouges du sud (Thunnus maccoyii) vivants,5,1,,,,,,,,"0,8","0,2","0,5"
119,116,301959000,"--- Thons rouges du sud (Thunnus maccoyii) vivants, autres que les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
120,117,301991000,--- Alevins d'autres poissons vivants non dénommés ni compris ailleurs,5,1,,,,,,,,"0,8","0,2","0,5"
121,118,301999000,"--- Autres poissons vivants non dénommés ni compris ailleurs , autres que
les alevins",10,1,,,,,,,,"0,8","0,2","0,5"
122,119,302110000,"-- Truites  (Salmo trutta, Oncorhynchus … chrysogaster) fraîches ou réfrigérées, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
123,120,302130000,"-- Saumons du Pacifique (Oncorhynchus nerka, ... rhodurus) frais ou
réfrigérés, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
124,121,302140000,"-- Saumons de l'Atlantique (...) et saumons du Danube (...) frais ou
réfrigérés, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
125,122,302190000,"-- Salmonidés, frais ou réfrigérés, autres que truites, saumons du Pac., de
l'Atlant. et du Dan., sauf les abats des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
126,123,302210000,"-- Flétans (Reinhardtius hippoglossoides, ... Hippoglossus stenolepis), frais
ou réfrigérés, sauf abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
127,124,302220000,"-- Plies ou carrelets (Pleuronectes platessa), frais ou réfrigérés, à
l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
128,125,302230000,"-- Soles (Solea spp.), frais ou réfrigérés, à l'exclusion des abats de poissons
comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
129,126,302240000,"-- Turbots (Psetta maxima,), frais ou réfrigérés, à l'exclusion des abats de
poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
130,127,302290000,"-- Poissons plats, frais ou réfrigérés, autres que flétans, plies ou carrelets,
soles et turbots, sauf les abats des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
131,128,302310000,"-- Thons blancs ou germons (Thunnus alalunga), frais ou réfrigérés, à
l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
132,129,302320000,"-- Thons à nageoires jaunes (Thunnus albacares),  frais ou réfrigérés, sauf
les abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
133,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
134,130,302330000,"-- Listaos ou bonites à ventre rayé,  frais ou réfrigérés, à l'exclusion des
abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
135,131,302340000,"-- Thons obèses (Thunnus obesus),  frais ou réfrigérés, à l'exclusion des
abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
136,132,302350000,"-- Thons rouges de l'Atlantique et du Pacifique (Thunnus … orientalis),  frais
ou réfrigérés, sauf les abats des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
137,133,302360000,"-- Thons rouges du sud (Thunnus maccoyii),  frais ou réfrigérés, à
l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
138,134,302390000,"-- Autres thons (du genre thunnus), frais ou réfrigérés, à l'exclusion des
abats des N° 0302.91 à 0302.99, non dénommés ni compris ailleurs",10,1,,,,,,,,"0,8","0,2","0,5"
139,135,302410000,"-- Harengs (Clupea harengus, Clupea pallasii), frais ou réfrigérés, à
l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
140,136,302420000,"-- Anchois (Engraulis spp.),  frais ou réfrigérés, à l'exclusion des abats de
poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
141,137,302430000,"-- Sardines (...), sardinelles (...), sprats ou esprots (...),  frais ou réfrigérés,
sauf les abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
142,138,302440000,"-- Maquereaux (Scomber scombrus, australasicus ou japonicus),  frais ou
réfrigérés, sauf les abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
143,139,302450000,"-- Chinchards (Trachurus spp.),  frais ou réfrigérés, à l'exclusion des abats
de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
144,140,302460000,"-- Mafous (Rachycentron canadum),  frais ou réfrigérés, à l'exclusion des
abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
145,141,302470000,"-- Espadons (Xiphias gladius),  frais ou réfrigérés, à l'exclusion des abats de
poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
146,142,302490000,"-- Autres poissons frais ou réfrigérés du N° 0302.4, à l'exclusion des abats
de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
147,143,302510000,"-- Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus),  frais ou
réfrigérés, sauf les abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
148,144,302520000,"-- Eglefins (Melanogrammus aeglefinus),  frais ou réfrigérés, à l'exclusion
des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
149,145,302530000,"-- Lieus noirs (Pollachius virens),  frais ou réfrigérés, à l'exclusion des abats
de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
150,146,302540000,"-- Merlus (Merluccius spp., Urophycis spp.),  frais ou réfrigérés, à l'exclusion
des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
151,147,302550000,"-- Lieus d?'Alaska (Theragra chalcogramma),  frais ou réfrigérés, à
l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
152,148,302560000,"-- Merlans bleus (Micromesistius poutassou ou australis),  frais ou
réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
153,149,302590000,"-- Autres poissons des familles Bregmacerotidae …,  frais ou réfrigérés,
non dénommés ailleurs,  sauf les abats des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
154,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
155,150,302710000,"-- Tilapias (Oreochromis spp.),  frais ou réfrigérés, à l'exclusion des abats
de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
156,151,302720000,"-- Siluridés (Pangasius spp., Silurus spp.,  Ictalurus spp.),  frais ou
réfrigérés, sauf  les abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
157,152,302730000,"-- Carpes (Cyprinus carpio ... Mylopharyngodon piceus),  frais ou réfrigérés,
à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
158,153,302740000,"-- Anguilles (Anguilla spp.),  frais ou réfrigérés, à l'exclusion des abats de
poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
159,154,302790000,"-- Perches du Nil (Lates nilot.) et poissons tête de serpent (channa spp.),
frais ou réfrigérés, sauf les abats des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
160,155,302810000,"-- Squales,  frais ou réfrigérés, à l'exclusion des abats de poissons des N°
0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
161,156,302820000,"-- Raies (Rajidae),  frais ou réfrigérés, à l'exclusion des abats de poissons
des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
162,157,302830000,"-- Légines (Dissostichus spp.),  frais ou réfrigérés, à l'exclusion des abats
de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
163,158,302840000,"-- Bars (Dicentrarchus spp.),  frais ou réfrigérés, à l'exclusion des abats de
poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
164,159,302850000,"-- Dorades (Sparidés) (Sparidae),  frais ou réfrigérés, à l'exclusion des
abats de poissons des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
165,160,302890000,"-- Autres poissons frais ou réfrigérés du N° 03.02, à l'exclusion des abats de
poissons comestibles des N° 0302.91 à 0302.99",10,1,,,,,,,,"0,8","0,2","0,5"
166,161,302910000,"--  Foies, oeufs et laitances de poissons comestibles, frais ou refrigérés",10,1,,,,,,,,"0,8","0,2","0,5"
167,162,302920000,"--  Ailerons de requins, frais ou réfrigérés",10,1,,,,,,,,"0,8","0,2","0,5"
168,163,302990000,"-- Nageoires, têtes, queues, vessies natatoires et autres abats de poissons
comestibles, frais ou réfrigérés, sauf les N° 0302.91 et 0302.92",10,1,,,,,,,,"0,8","0,2","0,5"
169,164,303110000,"-- Saumons rouges (Oncorhynchus nerka) congelés, à l'exclusion des abats
de poissons des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
170,165,303120000,"-- Autres saumons du Pacifique (Oncorhynchus gorbuscha... Oncorhynchus
rhodurus)  congelés, sauf abats de poissons des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
171,166,303130000,"-- Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho
hucho)  congelés, sauf les abats de poissons des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
172,167,303140000,"-- Truites (Salmo trutta ...Oncorhynchus chrysogaster)  congelées, à
l'exclusion des abats de poissons des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
173,168,303190000,"-- Salmonidés congelés, autres que saumons rouges, du Pac., de l'Atlant. et
du Dan et  truites, sauf les abats des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
174,169,303230000,"-- Tilapias (Oreochromis spp.) congelés, à l'exclusion des abats de
poissons des N° 0303.91 à 0303.99",10,1,,,,,,,,"0,8","0,2","0,5"
